Simulacao,Tempo_Execucao_Segundos,Media_Tempo_Cumulativa,Acuracia,Media_Acuracia_Cumulativa
91,59.58474063873291,62.99565231145083,0.9640209109235658,0.9630275556950652
92,60.50428128242493,62.96857219157012,0.962654183893122,0.9630234973059136
93,61.9526948928833,62.957648779756276,0.9623398366761199,0.963016146116346
94,63.265296936035156,62.96092163248265,0.9638500700447603,0.9630250176474993
95,61.69354295730591,62.9475808043229,0.9629138620289063,0.9630238475883562
96,60.315046548843384,62.920158572494984,0.9634127173950183,0.963027898315509
97,57.25313329696655,62.86173563151016,0.96203232309427,0.9630176346534343
98,59.469693183898926,62.82712295347331,0.9632077083404517,0.9630195741808527
99,61.29062867164612,62.811602809212424,0.9642874226945023,0.9630323807314957
100,62.64215922355652,62.80990837335587,0.9649366180339631,0.9630514231045203
