Simulacao,Tempo_Execucao_Segundos,Media_Tempo_Cumulativa,Acuracia,Media_Acuracia_Cumulativa
27,115.85363984107971,120.01745141877069,0.9608432705777838,0.9596716817955757
28,123.79182481765747,120.15225046873093,0.9597635562237332,0.9596749630251528
29,122.76412105560303,120.24231497172651,0.9593672053849045,0.9596643506927304
30,173.45481896400452,122.01606510480245,0.9603239143062152,0.9596863361465132
31,120.76082253456116,121.97557340898821,0.9596473844261455,0.9596850796394045
32,116.06909394264221,121.7909959256649,0.9596747189667544,0.9596847558683841
33,110.9788510799408,121.46335517276417,0.9588751836539448,0.9596602233770374
34,108.34852480888367,121.07762486794415,0.9596747189667544,0.9596606497179114
35,112.58067202568054,120.83485478673663,0.9592988690333824,0.9596503131269248
36,121.02909421920776,120.8402503265275,0.9602282434140841,0.9596663667460127
37,124.03534841537476,120.92660432892876,0.9601052379813442,0.9596782281307514
38,115.23370432853699,120.77679117102372,0.9587863463969659,0.9596547575588096
39,116.61294651031494,120.67002592331323,0.9584514982745072,0.9596239047566479
40,175.80203342437744,122.04832611083984,0.9588136809375748,0.9596036491611712
41,126.10282111167908,122.14721623281153,0.9597362216831243,0.9596068826373164
42,115.27082943916321,121.98349273772467,0.9583626610175283,0.9595772583130359
43,115.03586983680725,121.82192011212193,0.9597088871425155,0.9595803194486052
44,128.76302647590637,121.97967252948068,0.959442375371579,0.9595771843559455
45,181.6338448524475,123.30532080332438,0.9607612669559572,0.9596034973026124
46,118.21878218650818,123.19474387687185,0.9588820172890969,0.9595878129544926
47,120.59165143966675,123.1393589313994,0.9592168654115557,0.9595799204535791
48,114.12836956977844,122.95162998636563,0.9597977243994943,0.9595844580357854
49,118.85433220863342,122.8680116643711,0.9591690299654901,0.9595759799119018
50,105.39934706687927,122.51863837242126,0.9596200498855366,0.9595768613113745
51,175.64132356643677,123.56025965073529,0.9606655960638262,0.9595982090516186
52,160.48070549964905,124.27026822475287,0.9601599070625619,0.9596090109364445
53,163.71767473220825,125.01455891357278,0.9597088871425155,0.9596108953931628
54,114.48385810852051,124.81954593570144,0.9594082071958178,0.9596071419080269
55,121.13362073898315,124.75252911394293,0.959756722588581,0.9596098615567642
56,119.55326581001282,124.65968512637275,0.9595927153449277,0.95960955537441
57,111.95958495140076,124.43687635137324,0.9606314278880651,0.9596274829623689
58,115.36955308914185,124.2805431916796,0.9598865616564731,0.9596319498364052
59,134.47469663619995,124.45332545345113,0.9609184405644583,0.9596537547639993
60,116.45955228805542,124.32009590069453,0.95947654354734,0.9596508012437216
61,109.16845035552979,124.07170826880659,0.9594355417364266,0.9596472723993397
62,116.22103834152222,123.94508456030199,0.9585198346260293,0.959629087919125
63,114.38280248641968,123.793302305161,0.9599207298322343,0.959633717155841
64,119.91271257400513,123.7326680906117,0.9592441999521646,0.9596276309495335
65,115.56110715866089,123.60695176858168,0.9600505689001264,0.959634137687235
66,110.73838186264038,123.41197343667348,0.9588683500187924,0.9596225348437737
67,118.61006236076355,123.34030312210766,0.9587180100454437,0.9596090344736494
68,121.13115954399109,123.30781571654713,0.9598113916697988,0.9596120103147693
69,115.68201613426208,123.19729688202125,0.9590323572624457,0.959603609545895
70,163.51810383796692,123.77330840996333,0.961191785970547,0.9596262977805328
71,115.33943724632263,123.65452149216559,0.9586428400587692,0.9596124462633249
72,156.79519534111023,124.11480862895648,0.9601189052516487,0.9596194804159405
73,116.65635991096497,124.01263809857303,0.9597635562237332,0.9596214540571432
74,174.7148962020874,124.69780374862053,0.9604605870092596,0.9596327936916313
75,113.33637928962708,124.54631808916727,0.9594287081012745,0.9596300725504265
76,114.33675217628479,124.41198169557671,0.9589025181945536,0.9596204994667965
77,167.57473254203796,124.97253690137492,0.9599685652782998,0.9596250198020109
78,164.7903823852539,125.48302209988618,0.9600300679946697,0.9596302127275578
79,111.21016573905945,125.30235303202763,0.9594492090067311,0.9596279215412182
80,154.33330464363098,125.66523992717266,0.9601120716164964,0.9596339734171593
81,108.92588019371033,125.45858116503115,0.9593740390200567,0.9596307643505285
82,104.05685687065125,125.19758452729481,0.9594013735606656,0.9596279669018717
83,143.9481806755066,125.42349532426121,0.9606177606177606,0.9596398921273643
84,112.93420028686523,125.2748132404827,0.9589503536406191,0.9596316833358555
85,151.15101742744446,125.579239172094,0.9597703898588854,0.9596333151773029
86,115.34630727767944,125.4602515919264,0.95929203539823,0.9596293468077789
